"","Name","URL","npcurl","locale","highdeg","control","Admission Rate","Size of School","Degree Type","ugds_men","ugds_women","preddeg","Enrollment","satvrmid","satmtmid","longitude","latitude","Average Debt","satwrmid","State","c150_l4","City","Tuition","Region","Sourrounding area"
"1","Rabbi Jacob Joseph School","rabbijacobjoseph.com","https://sites.google.com/site/rabbijacobjosephschool/",21,3,2,1,"Small","Bachelor Degree",1,0,3,98,NA,NA,-74.399497,40.499821,NA,NA,"NJ",NA,"Edison",18200,"Northeast","Suburban"
"2","Vatterott College-Sunset Hills","www.vatterott.edu","www.vatterott.edu/calculator/",21,3,3,NA,"Small","Associate Degree",0.4817,0.5183,2,431,NA,NA,-90.41884,38.521026,22000,NA,"MO",NA,"Sunset Hills",23062,"Other","Suburban"
"3","Herzing University-Kenner","www.herzing.edu","www.herzing.edu/financial-aid/net-price-calculator",21,4,3,0.7097,"Small","Associate Degree",0.1923,0.8077,2,461,NA,NA,-90.240873,30.001701,17946,NA,"LA",NA,"Kenner",26781,"Southeast","Suburban"
"4","Western Governors University","www.wgu.edu","www.wgu.edu/tuition_financial_aid/net_price_calculator",21,4,2,NA,"Large","Bachelor Degree",0.414,0.586,3,54735,NA,NA,-111.869857,40.684783,12600,NA,"UT",NA,"Salt Lake City",13270,"Midwest","Suburban"
"5","Instituto Tecnologico de Puerto Rico-Recinto de Ponce","www.itecponce.com/","itecponce.com",12,2,1,0.9673,"Small","Associate Degree",0.6636,0.3364,2,665,NA,NA,-66.629202,17.998197,NA,NA,"PR",0.8696,"Ponce",4559,"Other","Urban"
"6","Erie Community College","www.ecc.edu","www.suny.edu/howmuch/",11,2,1,NA,"Large","Associate Degree",0.4944,0.5056,2,10027,NA,NA,-78.872679,42.881771,8000,NA,"NY",0.1936,"Buffalo",10365,"Northeast","Urban"
"7","Clinton College","www.clintoncollege.edu","www.clintoncollege.edu/studentaffairs.htm",13,3,2,NA,"Small","Associate Degree",0.5971,0.4029,2,161,NA,NA,-81.043469,34.913721,12000,NA,"SC",0.5303,"Rock Hill",13340,"Southeast","Urban"
"8","ITT Technical Institute-Springfield","www.itt-tech.edu","www.itt-tech.edu/npc",12,3,3,0.9573,"Small","Associate Degree",0.7881,0.2119,2,111,NA,NA,-93.275957,37.154882,18666,NA,"MO",NA,"Springfield",28569,"Other","Urban"
"9","ITT Technical Institute-Springfield","www.itt-tech.edu","www.itt-tech.edu/npc",12,3,3,0.9573,"Small","Associate Degree",0.7881,0.2119,2,699,NA,NA,-93.275957,37.154882,18666,NA,"VA",NA,"Springfield",27555,"Other","Urban"
"10","ITT Technical Institute-Springfield","www.itt-tech.edu","www.itt-tech.edu/npc",12,3,3,0.9573,"Small","Associate Degree",0.7881,0.2119,2,188,NA,NA,-93.275957,37.154882,18666,NA,"IL",NA,"Springfield",28098,"Other","Urban"
"11","ITT Technical Institute-Huntington","www.itt-tech.edu","www.itt-tech.edu/npc",22,2,3,0.7025,"Small","Associate Degree",0.431,0.569,2,155,NA,NA,-82.342759,38.413651,18666,NA,"WV",0.2471,"Huntington",28189,"Southeast","Suburban"
"12","Fortis College-Salt Lake City","www.fortiscollege.edu","www.fortisedu.info/",21,2,3,NA,"Small","Associate Degree",0.2938,0.7062,2,368,NA,NA,-111.870502,40.685819,15879.5,NA,"UT",NA,"Salt Lake City",25533,"Midwest","Suburban"
"13","Brown Mackie College-Greenville","www.brownmackie.edu","tcc.noellevitz.com/edmc/Brown-Mackie Net Price Calculator",13,3,3,NA,"Small","Associate Degree",0.2102,0.7898,2,572,NA,NA,-82.394491,34.853438,17741,NA,"SC",NA,"Greenville",23295,"Southeast","Urban"
"14","Globe University-Sioux Falls","www.globeuniversity.edu/","www.globeuniversity.edu/financial-aid/student-loan-calculator",12,3,3,NA,"Small","Associate Degree",0.2462,0.7538,2,121,NA,NA,-96.786599,43.498932,24000,NA,"SD",NA,"Sioux Falls",26311,"Other","Urban"
"15","University of South Florida-Sarasota-Manatee","usfsm.edu/","usfsm.edu/admissions/net-price-calculator/",21,4,1,NA,"Small","Bachelor Degree",0.3777,0.6223,3,1752,NA,NA,-82.562951,27.391766,18050,NA,"FL",NA,"Sarasota",12515,"Southeast","Suburban"
"16","Yeshivas Be'er Yitzchok","www.elizabethkollel.org/","https://sites.google.com/site/yeshivasbeeryitzchok/",21,3,2,NA,"Small","Bachelor Degree",1,0,3,49,NA,NA,-74.213255,40.682465,NA,NA,"NJ",NA,"Elizabeth",27414,"Northeast","Suburban"
"17","Yeshiva Toras Chaim","ytclakewood.com","https://sites.google.com/site/yeshivatoraschaimlakewood",21,3,2,1,"Small","Bachelor Degree",1,0,3,211,NA,NA,-74.182143,40.098692,NA,NA,"NJ",NA,"Lakewood",17771,"Northeast","Suburban"
"18","Talmudical Seminary of Bobov","independentrabbinicalcolleges.com","https://sites.google.com/site/talmudicalseminaryofbobov/",11,3,2,1,"Small","Bachelor Degree",1,0,3,362,NA,NA,-73.995267,40.634729,NA,NA,"NY",NA,"Brooklyn",12900,"Northeast","Urban"
"19","The Art Institute of Pittsburgh-Online Division","www.aionline.edu/","tcc.noellevitz.com/edmc/Freshman-Students Net Price Calculator",11,3,3,0.7559,"Large","Associate Degree",0.3751,0.6249,2,6883,NA,NA,-79.999455,40.43748,34500,NA,"PA",NA,"Pittsburgh",30076,"Northeast","Urban"
"20","Bob Jones University","www.bju.edu","https://npc.collegeboard.org/student/app/bju",13,4,3,0.8274,"Mid-sized","Bachelor Degree",0.4312,0.5688,3,2493,NA,NA,-82.36329,34.87402,18000,NA,"SC",NA,"Greenville",23176,"Southeast","Urban"
"21","Strayer University-New Jersey","www.strayer.edu/new-jersey/cherry-hill","https://strayer.aidcalc.com/netprice.htm",21,4,3,NA,"Small","Bachelor Degree",0.387,0.613,3,688,NA,NA,-75.016011,39.93909,31334,NA,"NJ",NA,"Cherry Hill",29544,"Northeast","Suburban"
"22","Woodland Community College","wcc.yccd.edu","wcc.yccd.edu/student/financial-aid-calc.aspx",23,2,1,NA,"Mid-sized","Associate Degree",0.3866,0.6134,2,2588,NA,NA,-121.734242,38.660562,NA,NA,"CA",0.1946,"Woodland",10876,"West","Suburban"
"23","Portland Actors Conservatory","www.actorsconservatory.com/","pac.edu/netprice/npcalc.htm",11,1,2,0.7391,"Small","Certificate Degree",0.4762,0.5238,1,25,NA,NA,-122.691101,45.5138,NA,NA,"OR",0.7692,"Portland",19750,"West","Urban"
"24","West Coast University-Orange County","westcoastuniversity.edu/","westcoastuniversity.studentaidcalculator.com/survey.aspx",11,3,3,0.5133,"Small","Bachelor Degree",0.2253,0.7747,3,1705,NA,NA,-117.912051,33.8109,31500,NA,"CA",NA,"Anaheim",46462,"West","Urban"
"25","Harrison College-Grove City","harrison.edu","harrison.edu/admissions/net-price-calculator",21,3,3,1,"Small","Associate Degree",0.194,0.806,2,266,NA,NA,-83.04592,39.88221,24630,NA,"OH",NA,"Grove City",26988,"Great Lakes","Suburban"
"26","Miller-Motte Technical College-Columbus","www.miller-motte.edu","https://miller-motte.studentaidcalculator.com/survey.aspx",12,2,3,NA,"Small","Associate Degree",0.1412,0.8588,2,461,NA,NA,-84.935671,32.48014,19497,NA,"GA",NA,"Columbus",24760,"Southeast","Urban"
"27","The Art Institute of Virginia Beach","www.artinstitutes.edu/virginia-beach/","tcc.noellevitz.com/edmc/Freshman-Students Net Price Calculator",11,3,3,0.5595,"Small","Bachelor Degree",0.4473,0.5527,3,527,NA,NA,-76.131612,36.842603,27722,NA,"VA",NA,"Virginia Beach",31244,"Southeast","Urban"
"28","Globe University-Madison East","www.globeuniversity.edu/","www.globeuniversity.edu/financial-aid/student-loan-calculator",12,3,3,NA,"Small","Associate Degree",0.1979,0.8021,2,165,NA,NA,-89.302031,43.14834,24000,NA,"WI",NA,"Madison",25758,"Great Lakes","Urban"
"29","Strayer University-Arkansas","www.strayer.edu/arkansas/little-rock","https://strayer.aidcalc.com/netprice.htm",12,4,3,NA,"Small","Bachelor Degree",0.2816,0.7184,3,151,NA,NA,-92.396031,34.74735,31334,NA,"AR",NA,"Little Rock",29544,"Southeast","Urban"
"30","Strayer University-South Carolina","www.strayer.edu/south-carolina/greenville","strayer.aidcalc.com/netprice.htm",13,4,3,NA,"Small","Bachelor Degree",0.2951,0.7049,3,1438,NA,NA,-82.357811,34.85654,31334,NA,"SC",NA,"Greenville",29544,"Southeast","Urban"
"31","Bryant & Stratton College-Hampton","www.bryantstratton.edu","tcc.noellevitz.com/Bryant-and-Stratton-College-Amherst-NY/Freshman-Students",12,3,3,NA,"Small","Associate Degree",0.2046,0.7954,2,488,NA,NA,-76.39268,37.04386,22800,NA,"VA",NA,"Hampton",22940,"Southeast","Urban"
"32","South University-Richmond","www.southuniversity.edu/richmond#location=Richmond,%20VA","tcc.noellevitz.com/edmc/South Net Price Calculator",21,4,3,0.5882,"Small","Bachelor Degree",0.1103,0.8897,3,614,NA,NA,-77.59915,37.64676,25943.5,NA,"VA",NA,"Glen Allen",28476,"Southeast","Suburban"
"33","Future-Tech Institute","www.futuretechinstitute.com/","www.futuretechinstitute.com",11,1,3,NA,"Small","Certificate Degree",0.1818,0.8182,1,128,NA,NA,-80.251482,25.764767,NA,NA,"FL",1,"Miami",10470,"Southeast","Urban"
"34","Starting Points Inc","www.startingpoints.edu/","www.startingpoints.edu/NetPriceCalculator/npcalc.htm",12,1,2,NA,"Small","Certificate Degree",0.0263,0.9737,1,46,NA,NA,-74.06951,40.72971,5900,NA,"NJ",NA,"Jersey City",23581,"Northeast","Urban"
"35","ITT Technical Institute-Merrillville","www.itt-tech.edu","www.itt-tech.edu/npc",21,3,3,0.7927,"Small","Associate Degree",0.4134,0.5866,2,251,NA,NA,-87.326153,41.464567,18666,NA,"IN",NA,"Merrillville",26906,"Great Lakes","Suburban"
"36","ITT Technical Institute-Corona","www.itt-tech.edu","www.itt-tech.edu/npc",12,3,3,0.8522,"Small","Associate Degree",0.8964,0.1036,2,392,NA,NA,-117.50849,33.819,18666,NA,"CA",NA,"Corona",27083,"West","Urban"
"37","ITT Technical Institute-Johnson City","www.itt-tech.edu","www.itt-tech.edu/npc",13,2,3,0.8519,"Small","Associate Degree",0.8148,0.1852,2,129,NA,NA,-82.430041,36.38156,18666,NA,"TN",NA,"Johnson City",28823,"Southeast","Urban"
"38","ITT Technical Institute-North Charleston","www.itt-tech.edu","www.itt-tech.edu/npc",13,3,3,0.9146,"Small","Associate Degree",0.8349,0.1651,2,272,NA,NA,-80.027451,32.90049,18666,NA,"SC",NA,"North Charleston",27646,"Southeast","Urban"
"39","ITT Technical Institute-Dearborn","www.itt-tech.edu","www.itt-tech.edu/npc",13,3,3,0.9016,"Small","Associate Degree",0.7617,0.2383,2,320,NA,NA,-83.261891,42.30379,18666,NA,"MI",NA,"Dearborn",26830,"Great Lakes","Urban"
"40","ITT Technical Institute-Las Vegas","www.itt-tech.edu","www.itt-tech.edu/npc",21,3,3,0.8945,"Small","Associate Degree",0.7736,0.2264,2,449,NA,NA,-115.190451,36.21675,18666,NA,"NV",NA,"North Las Vegas",27555,"West","Suburban"
"41","Touro University Worldwide","www.tuw.edu","www.tuw.edu/admissions/tuition/financial-aid-information/",21,4,2,0.5,"Small","Bachelor Degree",0.3043,0.6957,3,382,NA,NA,-118.057661,33.80844,NA,NA,"CA",NA,"Los Alamitos",17882,"West","Suburban"
"42","Strayer University-Global Region","www.strayer.edu","https://strayer.aidcalc.com/netprice.htm",11,4,3,NA,"Mid-sized","Bachelor Degree",0.3348,0.6652,3,4416,NA,NA,-77.034021,38.90477,31334,NA,"DC",NA,"Washington",29544,"Northeast","Urban"
"43","Brown Mackie College-St Louis","www.brownmackie.edu","tcc.noellevitz.com/edmc/Brown-Mackie Net Price Calculator",21,3,3,NA,"Small","Associate Degree",0.1913,0.8087,2,347,NA,NA,-90.43652,38.54435,17741,NA,"MO",NA,"Fenton",22211,"Other","Suburban"
"44","Ecotech Institute","www.ecotechinstitute.com","https://enroll.ecotechinstitute.com/npc",11,2,3,NA,"Small","Associate Degree",0.9449,0.0551,2,242,NA,NA,-104.827081,39.69125,17596.5,NA,"CO",NA,"Aurora",23982,"Midwest","Urban"
"45","Everest College-Fort Worth South","www.everest.edu/campus/fort_worth_south","www.Everest.edu/npc",11,2,2,NA,"Small","Certificate Degree",0.1728,0.8272,1,437,NA,NA,-97.322091,32.68499,9500,NA,"TX",NA,"Ft Worth",29890,"Southwest","Urban"
"46","Cortiva Institute-New Jersey","https://www.cortiva.com","www.cortiva.com",21,1,3,NA,"Small","Certificate Degree",0.322,0.678,1,109,NA,NA,-74.09713,40.15056,6861,NA,"NJ",0.6875,"Wall",23468,"Northeast","Suburban"
"47","ICPR Junior College-Manati","www.icprjc.edu","www.icprjc.edu/netPriceCalculator/npalc.htm",21,2,3,NA,"Small","Certificate Degree",0.2268,0.7732,1,488,NA,NA,-66.46521,18.42669,NA,NA,"PR",NA,"Manat",11649,"Other","Suburban"
"48","Strayer University-Alabama","www.strayer.edu/alabama/birmingham","https://strayer.aidcalc.com/netprice.htm",12,4,3,NA,"Small","Bachelor Degree",0.2643,0.7357,3,442,NA,NA,-86.717661,33.43873,31334,NA,"AL",NA,"Birmingham",29544,"Southeast","Urban"
"49","Grantham University","www.grantham.edu/","https://npc.grantham.edu",21,4,3,NA,"Large","Bachelor Degree",0.6821,0.3179,3,9828,NA,NA,-94.771491,38.92258,4500,NA,"KS",NA,"Lenexa",16720,"Other","Suburban"
"50","Beckfield College-Tri-County","www.beckfield.edu","www.beckfield.edu/NPC/npcalc.htm",21,2,3,NA,"Small","Certificate Degree",0.1978,0.8022,1,443,NA,NA,-84.481426,39.296683,25792,NA,"OH",0.1176,"Springdale",31136,"Great Lakes","Suburban"
"51","American National University-Youngstown","https://www.an.edu/locations/youngstown-oh/","https://www.an.edu/admissions/financial-assistance/net-price-va/",21,2,3,NA,"Small","Associate Degree",0.2353,0.7647,2,98,NA,NA,-80.663894,41.144911,24167,NA,"OH",0.4286,"Youngstown",25123,"Great Lakes","Suburban"
"52","University of Management and Technology","www.umtweb.edu","umtweb.edu/NPC/npcalc.htm",12,4,3,NA,"Small","Bachelor Degree",0.7404,0.2596,3,896,NA,NA,-77.072001,38.89743,NA,NA,"VA",NA,"Arlington",17460,"Southeast","Urban"
"53","Moody Bible Institute","www.moody.edu","www.moody.edu/uploadedFiles/EDU/Website_Assets/Files/Financial_Aid/npcalc.html",11,4,2,0.8491,"Mid-sized","Bachelor Degree",0.5604,0.4396,3,3084,545,535,-87.633459,41.897822,NA,NA,"IL",NA,"Chicago",26178,"Great Lakes","Urban"
"54","Yeshiva College of the Nations Capital",NA,"https://yeshiva.vfao.com",21,0,2,NA,"Small","Bachelor Degree",1,0,3,24,NA,NA,-77.030566,39.042404,NA,NA,"MD",NA,"Silver  Spring",19200,"Northeast","Suburban"
"55","Institute of Production and Recording","www.ipr.edu","www.ipr.edu/tuition/student-loan-calculator",11,2,3,NA,"Small","Associate Degree",0.8531,0.1469,2,214,NA,NA,-93.272141,44.98218,14167,NA,"MN",0.6637,"Minneapolis",29795,"Other","Urban"
"56","Le Cordon Bleu College of Culinary Arts-Sacramento","www.chefs.edu/Sacramento","chefs.studentaidcalculator.com",11,2,3,NA,"Small","Certificate Degree",0.5318,0.4682,1,348,NA,NA,-121.521168,38.655362,11250,NA,"CA",0.7158,"Sacramento",20958,"West","Urban"
"57","Le Cordon Bleu College of Culinary Arts-Seattle","www.chefs.edu/seattle","chefs.studentaidcalculator.com",21,2,3,NA,"Small","Certificate Degree",0.4885,0.5115,1,429,NA,NA,-122.25504,47.45122,11250,NA,"WA",0.7191,"Tukwila",21445,"West","Suburban"
"58","Argosy University-Salt Lake City","www.argosy.edu/locations/salt-lake-city","tcc.noellevitz.com/edmc/Argosy University Net Price Calculator",21,4,3,NA,"Small","Bachelor Degree",0.3511,0.6489,3,82,NA,NA,-111.895536,40.534344,9500,NA,"UT",NA,"Draper",24943,"Midwest","Suburban"
"59","Chamberlain College of Nursing-Ohio","www.chamberlain.edu","www.chamberlain.edu/calculator",11,3,3,0.5313,"Small","Bachelor Degree",0.1473,0.8527,3,757,NA,NA,-82.940493,39.940449,25000,NA,"OH",NA,"Columbus",30473,"Great Lakes","Urban"
"60","Orion College","https://orioncollege.org/","www.alliedhealthinstitute.edu",21,2,3,NA,"Small","Certificate Degree",0.0777,0.9223,1,336,NA,NA,-80.202291,26.11946,8722,NA,"FL",0.7083,"Lauderdale Lakes",22230,"Southeast","Suburban"
"61","Fortis College-Montgomery","www.fortiscollege.edu","www.fortiscollege.edu",12,2,3,NA,"Small","Certificate Degree",0.2647,0.7353,1,289,NA,NA,-86.251882,32.383686,9500,NA,"AL",0.4865,"Montgomery",37238,"Southeast","Urban"
"62","Vatterott College-Appling Farms","www.vatterott.edu","www.vatterott.edu/calculator/",11,2,3,NA,"Small","Certificate Degree",0.4749,0.5251,1,322,NA,NA,-89.82991,35.179508,23104.5,NA,"TN",0.5968,"Memphis",23894,"Southeast","Urban"
"63","Brown Mackie College-Tulsa","www.brownmackie.edu","tcc.noellevitz.com/edmc/Brown-Mackie Net Price Calculator",11,3,3,NA,"Small","Associate Degree",0.247,0.753,2,479,NA,NA,-95.853318,36.09694,17741,NA,"OK",NA,"Tulsa",23946,"Southwest","Urban"
"64","Miller-Motte College-Greenville","www.miller-motte.edu","https://miller-motte.studentaidcalculator.com/survey.aspx",13,2,3,NA,"Small","Certificate Degree",0.1538,0.8462,1,293,NA,NA,-77.406368,35.604669,19497,NA,"NC",0.3429,"Greenville",25422,"Southeast","Urban"
"65","Virginia College-Jacksonville","www.vc.edu","https://enroll.vc.edu/npc",11,2,3,NA,"Small","Certificate Degree",0.2511,0.7489,1,511,NA,NA,-81.603291,30.29163,17596.5,NA,"FL",0.3145,"Jacksonville",23117,"Southeast","Urban"
"66","South Texas Training Center","www.southtexastraining.com","www.southtexastraining.com",22,1,3,NA,"Small","Certificate Degree",0.1915,0.8085,1,134,NA,NA,-97.652261,26.137434,3500,NA,"TX",0.7561,"San Benito",12790,"Southwest","Suburban"
"67","Miller-Motte College-Raleigh","www.miller-motte.edu","https://miller-motte.studentaidcalculator.com/survey.aspx",11,2,3,NA,"Small","Certificate Degree",0.0838,0.9162,1,394,NA,NA,-78.585643,35.835536,18667,NA,"NC",0.3889,"Raleigh",23006,"Southeast","Urban"
"68","Norco College","www.norcocollege.edu/Pages/index.aspx","https://webprod.cccco.edu/npc/963/npcalc.htm",21,2,1,NA,"Large","Associate Degree",0.4514,0.5486,2,8104,NA,NA,-117.568201,33.91675,4500,NA,"CA",NA,"Norco",12092,"West","Suburban"
"69","Remington College-Heathrow Campus","www.remingtoncollege.edu/","calculator.remingtoncollege.edu/",21,3,2,0.6218,"Small","Bachelor Degree",0.1255,0.8745,3,252,NA,NA,-81.361171,28.7662,11886.5,NA,"FL",NA,"Lake Mary",23866,"Southeast","Suburban"
"70","Virginia College-Macon","www.vc.edu","https://enroll.vc.edu/npc/",12,2,3,NA,"Small","Associate Degree",0.1796,0.8204,2,312,NA,NA,-83.680241,32.81439,17596.5,NA,"GA",NA,"Macon",23852,"Southeast","Urban"
"71","Carolina College of Biblical Studies","ccbs.edu","ccbs.edu",12,3,2,NA,"Small","Associate Degree",0.5495,0.4505,2,117,NA,NA,-78.939511,35.05141,NA,NA,"NC",NA,"Fayetteville",17649,"Southeast","Urban"
"72","New York Film Academy","www.nyfa.edu","https://www.nyfa.edu/federal-financial-aid/NetPriceCalculator/npcalc.htm",12,4,3,NA,"Small","Certificate Degree",0.6345,0.3655,1,1357,NA,NA,-118.335431,34.152,5500,NA,"CA",NA,"Burbank",47619,"West","Urban"
"73","John Paul the Great Catholic University","www.jpcatholic.com/","www.jpcatholic.com/admission/cost/npcalc.htm",21,4,2,NA,"Small","Bachelor Degree",0.541,0.459,3,206,NA,NA,-117.082401,33.12085,NA,NA,"CA",NA,"Escondido",40178,"West","Suburban"
"74","ITT Technical Institute-Durham","www.itt-tech.edu","www.itt-tech.edu/npc",12,2,3,0.828,"Small","Associate Degree",0.7438,0.2562,2,334,NA,NA,-78.843491,35.91832,18666,NA,"NC",NA,"Durham",28235,"Southeast","Urban"
"75","Broadview University-Boise","www.broadviewuniversity.edu/","www.broadviewuniversity.edu/financial-aid/student-loan-calculator",21,3,3,NA,"Small","Associate Degree",0.2766,0.7234,2,86,NA,NA,-116.360151,43.58943,29333,NA,"ID",NA,"Meridian",25218,"Midwest","Suburban"
"76","South University-Novi","www.southuniversity.edu/novi#location=Novi,%20MI","tcc.noellevitz.com/edmc/South Net Price Calculator",13,4,3,NA,"Small","Bachelor Degree",0.2819,0.7181,3,339,NA,NA,-83.457501,42.49522,25943.5,NA,"MI",NA,"Novi",28265,"Great Lakes","Urban"
"77","Harrison College-Morrisville","harrison.edu","harrison.edu/admissions/net-price-calculator",41,2,3,1,"Small","Associate Degree",0.5052,0.4948,2,202,NA,NA,-78.841171,35.85968,24630,NA,"NC",NA,"Morrisville",26606,"Southeast","Rural"
"78","National University College-Caguas","www.nuc.edu","www.nuc.edu",13,3,3,0.4691,"Small","Bachelor Degree",0.2764,0.7236,3,1077,NA,NA,-66.038026,18.225575,5500,NA,"PR",NA,"Caguas",13164,"Other","Urban"
"79","ITT Technical Institute-Brooklyn Center","www.itt-tech.edu","www.itt-tech.edu/npc",21,2,3,0.7763,"Small","Associate Degree",0.873,0.127,2,170,NA,NA,-93.301171,45.06658,18666,NA,"MN",NA,"Brooklyn Center",28690,"Other","Suburban"
"80","ITT Technical Institute-Myrtle Beach","www.itt-tech.edu","www.itt-tech.edu/npc",13,3,3,0.896,"Small","Associate Degree",0.8667,0.1333,2,118,NA,NA,-78.796061,33.77514,18666,NA,"SC",NA,"Myrtle Beach",28189,"Southeast","Urban"
"81","CollegeAmerica-Phoenix","www.collegeamerica.edu","https://collegeamerica.studentaidcalculator.com/survey.aspx",11,3,2,NA,"Small","Associate Degree",0.267,0.733,2,632,NA,NA,-112.119891,33.57415,24479,NA,"AZ",NA,"Phoenix",29895,"Southwest","Urban"
"82","Miller-Motte Technical College-Macon","www.miller-motte.edu","https://miller-motte.studentaidcalculator.com/survey.aspx",12,2,3,NA,"Small","Associate Degree",0.1897,0.8103,2,397,NA,NA,-83.687301,32.89793,17287,NA,"GA",NA,"Macon",23125,"Southeast","Urban"
"83","Miller-Motte Technical College-Gulfport","www.miller-motte.edu","https://miller-motte.studentaidcalculator.com/survey.aspx",13,2,3,NA,"Small","Associate Degree",0.1163,0.8837,2,70,NA,NA,-89.102471,30.46013,17287,NA,"MS",NA,"Gulfport",27426,"Southeast","Urban"
"84","California Miramar University","www.calmu.edu","https://www.calmu.edu/main-navigation/admissions/financial_aid.html",11,4,3,NA,"Small","Bachelor Degree",NA,NA,3,245,NA,NA,-117.118211,32.77931,NA,NA,"CA",NA,"San Diego",23331,"West","Urban"
"85","Virginia College-Greensboro","www.vc.edu","https://enroll.vc.edu/npc/",11,2,3,NA,"Small","Certificate Degree",NA,NA,1,316,NA,NA,-79.840151,36.00925,NA,NA,"NC",NA,"Greensboro",23887,"Southeast","Urban"
"86","Grace Mission University","www.gm.edu","www.gm.edu/NetPriceCalculator/npcalc.htm",21,4,2,NA,"Small","Bachelor Degree",NA,NA,3,104,NA,NA,-117.957072,33.866566,NA,NA,"CA",NA,"Fullerton",14189,"West","Suburban"
"87","Yeshiva Gedolah Kesser Torah","yeshivagedolahkessertorah.com","sites.google.com/site/ygkessertorah",21,3,2,NA,"Small","Bachelor Degree",NA,NA,3,70,NA,NA,-74.068551,41.12494,NA,NA,"NY",NA,"Monsey",27414,"Northeast","Suburban"
"88","Dorsey Business Schools-Lansing","www.dorsey.edu","www.dorsey.edu/npcalc.htm",12,1,3,NA,"Small","Certificate Degree",NA,NA,1,132,NA,NA,-84.543911,42.66692,NA,NA,"MI",NA,"Lansing",32222,"Great Lakes","Urban"
"89","Vatterott College-ex'treme Institute by Nelly-St Louis","www.eibynelly.com","www.vatterott.edu/calculator",11,2,3,NA,"Small","Associate Degree",NA,NA,2,355,NA,NA,-90.185411,38.63107,NA,NA,"MO",NA,"St. Louis",22324,"Other","Urban"
"90","Middle Georgia State University","www.mga.edu/","www.mga.edu/admissions/net-cost-calculator/npcalc.htm",12,3,1,NA,"Large","Bachelor Degree",NA,NA,3,7225,NA,NA,-83.732361,32.81039,NA,NA,"GA",NA,"Macon",14089,"Southeast","Urban"
"91","Academy of Interactive Entertainment","www.theaie.us","www.theaie.us/net_price_calculator/calculator",11,1,2,NA,"Small","Certificate Degree",NA,NA,1,106,NA,NA,-122.355081,47.62192,NA,NA,"WA",NA,"Seattle",18764,"West","Urban"
"92","Virginia Baptist College","www.vbc.edu","www.vbc.edu/net_price_calculator/npcalc.htm",22,4,2,NA,"Small","Certificate Degree",NA,NA,1,72,NA,NA,-77.531381,38.29061,NA,NA,"VA",NA,"Fredericksburg",15443,"Southeast","Suburban"
"93","The Art Institute of St Louis","artinstitutes.edu/st-louis/","tcc.noellevitz.com/edmc/Freshman-Students Net Price Calculator",13,3,3,NA,"Small","Bachelor Degree",NA,NA,3,400,NA,NA,-90.495665,38.766465,NA,NA,"MO",NA,"St Charles",26025,"Other","Urban"
"94","DeVry University-Arizona","www.devry.edu","www.devry.edu/financial-aid/net-price-calculator.html",11,4,3,NA,"Small","Bachelor Degree",NA,NA,3,915,NA,NA,-112.104961,33.56572,NA,NA,"AZ",NA,"Phoenix",31431,"Southwest","Urban"
"95","DeVry University-California","www.devry.edu","www.devry.edu/financial-aid/net-price-calculator.html",21,4,3,NA,"Mid-sized","Bachelor Degree",NA,NA,3,4892,NA,NA,-117.803681,34.06302,NA,NA,"CA",NA,"Pomona",29800,"West","Suburban"
"96","DeVry University-Illinois","www.devry.edu","www.devry.edu/financial-aid/net-price-calculator.html",11,4,3,NA,"Large","Bachelor Degree",NA,NA,3,16211,NA,NA,-87.691051,41.94122,NA,NA,"IL",NA,"Chicago",32188,"Great Lakes","Urban"
"97","DeVry University-Michigan","www.devry.edu","www.devry.edu/financial-aid/net-price-calculator.html",13,4,3,NA,"Small","Bachelor Degree",NA,NA,3,3,NA,NA,-83.244788,42.487451,NA,NA,"MI",NA,"Southfield",32282,"Great Lakes","Urban"
"98","DeVry University-Nevada","www.devry.edu","www.devry.edu/financial-aid/net-price-calculator.html",11,4,3,NA,"Small","Bachelor Degree",NA,NA,3,194,NA,NA,-115.096518,36.019627,NA,NA,"NV",NA,"Henderson",31431,"West","Urban"
"99","DeVry University-Ohio","www.devry.edu","www.devry.edu/financial-aid/net-price-calculator.html",11,4,3,NA,"Small","Bachelor Degree",NA,NA,3,1769,NA,NA,-82.940701,39.9405,NA,NA,"OH",NA,"Columbus",29622,"Great Lakes","Urban"
"100","DeVry University-Texas","www.devry.edu","www.devry.edu/financial-aid/net-price-calculator.html",12,4,3,NA,"Small","Bachelor Degree",NA,NA,3,1207,NA,NA,-97.011291,32.93361,NA,NA,"TX",NA,"Irving",33746,"Southwest","Urban"
"101","DeVry University-Virginia","www.devry.edu","www.devry.edu/financial-aid/net-price-calculator.html",12,4,3,NA,"Small","Bachelor Degree",NA,NA,3,489,NA,NA,-77.050211,38.85232,NA,NA,"VA",NA,"Arlington",29415,"Southeast","Urban"
"102","University of North Georgia","www.ung.edu","ung.edu/financial-aid/net-calculator.php",31,4,1,NA,"Large","Bachelor Degree",NA,NA,3,16048,NA,NA,-83.986574,34.530527,NA,NA,"GA",NA,"Dahlonega",15277,"Southeast","Suburban"
"103","South Georgia State College","www.sgsc.edu","www.sgsc.edu/current-students/netprice/npcalc.htm",33,3,1,NA,"Mid-sized","Associate Degree",NA,NA,2,2358,NA,NA,-82.850706,31.497072,NA,NA,"GA",NA,"Douglas",13954,"Southeast","Rural"
