"","Name","URL","npcurl","locale","highdeg","control","Admission Rate","Size of School","Degree Type","ugds_men","ugds_women","preddeg","Enrollment","satvrmid","satmtmid","longitude","latitude","Average Debt","satwrmid","State","c150_l4","City","Tuition","Region","Sourrounding area"
"2738","Herzing University-Winter Park","www.herzing.edu","www.herzing.edu/financial-aid/net-price-calculator",21,3,3,0.7079,"Small","Associate Degree",0.2559,0.7441,2,442,NA,NA,-81.311841,28.61586,17946,NA,"FL",NA,"Winter Park",28484,"Southeast","Suburban"
"2739","Antonelli College-Hattiesburg","www.antonellicollege.edu","www.antonellicollege.edu/financial-aid/ms-net-price-calculator",13,2,3,NA,"Small","Associate Degree",0.1476,0.8524,2,184,NA,NA,-89.335692,31.349549,23500,NA,"MS",0.3191,"Hattiesburg",27959,"Southeast","Urban"
"2740","Southern California Institute of Technology","https://www.scitech.edu","https://www.scitech.edu/financial-aid/net-price-calculator",11,3,3,NA,"Small","Certificate Degree",0.9331,0.0669,1,559,NA,NA,-117.950661,33.8381,9500,NA,"CA",NA,"Anaheim",29507,"West","Urban"
"2741","Fortis Institute-Scranton","www.fortis.edu","https://www.fortis.edu/portals/0/compliancefiles/netprice-calc/npcalc-fortis_scranton.htm",13,2,3,0.9704,"Small","Associate Degree",0.13,0.87,2,373,NA,NA,-75.651683,41.417104,12000,NA,"PA",0.5072,"Scranton",37375,"Northeast","Urban"
"2742","Le Cordon Bleu College of Culinary Arts-Portland","www.chefs.edu/portland","chefs.studentaidcalculator.com",11,2,3,NA,"Small","Associate Degree",0.5306,0.4694,2,334,NA,NA,-122.681755,45.520612,15042,NA,"OR",0.4751,"Portland",21809,"West","Urban"
"2743","Vatterott College-Des Moines","www.vatterott.edu","www.vatterott.edu/calculator/",12,2,3,NA,"Small","Certificate Degree",0.3696,0.6304,1,172,NA,NA,-93.648176,41.628771,23104.5,NA,"IA",0.5965,"Des Moines",24699,"Other","Urban"
"2744","Bryan University","www.bryanu.edu","www.bryanu.edu",12,4,3,0.9079,"Small","Associate Degree",0.3193,0.6807,2,71,NA,NA,-93.247901,37.13528,24166,NA,"MO",0.4516,"Columbia",23608,"Other","Urban"
"2745","Bryan University","www.bryanu.edu","www.bryanu.edu",12,4,3,0.9079,"Small","Associate Degree",0.3193,0.6807,2,1417,NA,NA,-93.247901,37.13528,24166,NA,"CA",0.4516,"Los Angeles",23421,"Other","Urban"
"2746","Bryan University","www.bryanu.edu","www.bryanu.edu",12,4,3,0.9079,"Small","Certificate Degree",0.3193,0.6807,1,89,NA,NA,-93.247901,37.13528,24166,NA,"KS",0.4516,"Topeka",23537,"Other","Urban"
"2747","Bryan University","www.bryanu.edu","www.bryanu.edu",12,4,3,0.9079,"Small","Associate Degree",0.3193,0.6807,2,289,NA,NA,-93.247901,37.13528,24166,NA,"MO",0.4516,"Springfield",23343,"Other","Urban"
